DATE,TIME,open,high,low,close,volume,max_vol,avg_price,b_pwr,s_pwr,avg_5m
20220217,84500,18234.0,18240.0,18227.0,18238.0,15.0,19.0,18231.0,18235.0,18225.5,18232.866666666665
20220217,85000,18240.0,18241.0,18226.0,18226.0,14.0,33.0,18232.21212121212,18235.7,18226.846153846152,18233.85714285714
20220217,85500,18225.0,18226.0,18223.0,18223.0,6.0,37.0,18231.35135135135,18235.7,18226.23529411765,18224.83333333333
20220217,90000,18223.0,18228.0,18210.0,18228.0,12.0,47.0,18228.55319148936,18235.7,18223.25925925926,18218.83333333333
20220217,90500,18228.0,18240.0,18228.0,18230.0,13.0,60.0,18229.6,18235.22580645161,18223.58620689655,18233.384615384617
20220217,91000,18220.0,18240.0,18220.0,18240.0,9.0,69.0,18229.1884057971,18235.23529411765,18223.314285714285,18226.44444444444
20220217,91500,18240.0,18252.0,18229.0,18250.0,10.0,79.0,18230.974683544304,18237.255813953492,18223.472222222223,18243.3
20220217,92000,18250.0,18263.0,18248.0,18248.0,26.0,105.0,18237.44761904762,18244.739130434784,18223.472222222223,18257.115384615383
20220217,92500,18248.0,18258.0,18227.0,18258.0,37.0,142.0,18239.190140845072,18245.22772277228,18224.31707317073,18244.135135135137
20220217,93000,18255.0,18255.0,18246.0,18248.0,7.0,149.0,18239.65100671141,18245.472222222223,18224.31707317073,18249.0
20220217,93500,18235.0,18235.0,18221.0,18221.0,18.0,167.0,18238.353293413173,18245.472222222223,18225.322033898305,18227.61111111111
20220217,94000,18230.0,18230.0,18220.0,18229.0,10.0,177.0,18237.570621468927,18245.472222222223,18225.202898550724,18224.5
20220217,94500,18235.0,18244.0,18226.0,18226.0,5.0,182.0,18237.48351648352,18245.45871559633,18225.575342465752,18234.4
20220217,95000,18225.0,18244.0,18225.0,18244.0,8.0,190.0,18237.36315789473,18245.265486725664,18225.76623376624,18234.625
20220217,95500,18248.0,18260.0,18238.0,18239.0,14.0,204.0,18238.08333333333,18245.733870967742,18226.225,18247.85714285714
20220217,100000,18252.0,18284.0,18252.0,18284.0,33.0,237.0,18242.362869198314,18250.585987261147,18226.225,18268.81818181818
20220217,100500,18288.0,18288.0,18271.0,18275.0,16.0,253.0,18244.557312252964,18253.034682080925,18226.225,18277.0625
20220217,101000,18275.0,18277.0,18268.0,18276.0,32.0,285.0,18247.964912280702,18256.448780487804,18226.225,18274.90625
