date,DATE,TIME,big_vols,big_vols_mv
2022-04-26 08:45:00,20220426,84500,[16647.96855011],[1876.]
2022-04-26 08:50:00,20220426,85000,[16647.93202417],[1986.]
2022-04-26 08:55:00,20220426,85500,[16648.02206837],[2311.]
2022-04-26 09:00:00,20220426,90000,[16647.99275124],[3035.]
2022-04-26 09:05:00,20220426,90500,[16647.97877897],[3063.]
2022-04-26 09:10:00,20220426,91000,[16629.99075026 16647.97877897],[1946. 3063.]
2022-04-26 09:15:00,20220426,91500,[16629.99075026 16647.97877897],[1946. 3063.]
2022-04-26 09:20:00,20220426,92000,[16629.99075026 16647.97877897],[1946. 3063.]
2022-04-26 09:25:00,20220426,92500,[16629.99075026 16647.97877897],[1946. 3063.]
2022-04-26 09:30:00,20220426,93000,[16629.99075026 16647.97877897],[1946. 3063.]
2022-04-26 09:35:00,20220426,93500,[16629.99075026 16647.97877897],[1946. 3063.]
2022-04-26 09:40:00,20220426,94000,[16601.         16629.99075026 16647.97877897],[1999. 1946. 3063.]
2022-04-26 09:45:00,20220426,94500,[16560.25638407 16601.         16629.99075026 16647.97877897],[ 979. 1999. 1946. 3063.]
2022-04-26 09:50:00,20220426,95000,[16560.17814053 16601.         16629.99075026 16647.97877897],[1409. 1999. 1946. 3063.]
2022-04-26 09:55:00,20220426,95500,[16560.06133625 16601.         16629.99075026 16647.97877897],[1826. 1999. 1946. 3063.]
2022-04-26 10:00:00,20220426,100000,[16560.00672182 16601.         16629.99075026 16647.97877897],[1934. 1999. 1946. 3063.]
2022-04-26 10:05:00,20220426,100500,[16559.93833652 16601.         16629.99075026 16647.97877897],[2092. 1999. 1946. 3063.]
2022-04-26 10:10:00,20220426,101000,[16559.93833652 16601.         16629.99075026 16647.97877897],[2092. 1999. 1946. 3063.]
2022-04-26 10:15:00,20220426,101500,[16559.99773243 16601.         16629.99075026 16647.97877897],[2646. 1999. 1946. 3063.]
2022-04-26 10:20:00,20220426,102000,[16560.03860294 16601.         16629.99075026 16647.97877897],[2720. 1999. 1946. 3063.]
2022-04-26 10:25:00,20220426,102500,[16560.03860294 16591.87592868 16629.99075026 16647.97877897],[2720. 2692. 1946. 3063.]
2022-04-26 10:30:00,20220426,103000,"[16560.03860294 16591.90209021 16601.92921308 16629.99075026
 16647.97877897]",[2720. 2727. 2783. 1946. 3063.]
2022-04-26 10:35:00,20220426,103500,[16560.03860294 16601.95862676 16647.97877897],[2720. 3408. 3063.]
2022-04-26 10:40:00,20220426,104000,[16560.03860294 16601.94686534 16647.97877897],[2720. 3557. 3063.]
