date,DATE,TIME,big_vols,big_vols_mv
2022-06-16 08:45:00,20220616,84500,[15751.65830508 15776.79681851],[1475. 1383.]
2022-06-16 08:50:00,20220616,85000,[15751.65830508 15776.39262727],[1475. 1709.]
2022-06-16 08:55:00,20220616,85500,[15751.65830508 15776.79452055 15793.95633562],[1475. 1752. 1168.]
2022-06-16 09:00:00,20220616,90000,[15751.65830508 15776.23725212],[1475. 2824.]
2022-06-16 09:05:00,20220616,90500,[15751.65830508 15776.26500173 15789.94522968],[1475. 2883. 2264.]
2022-06-16 09:10:00,20220616,91000,[15751.65830508 15776.26500173 15794.07005312],[1475. 2883. 3012.]
2022-06-16 09:15:00,20220616,91500,[15751.65830508 15776.92287155 15789.88583307],[1475. 3371. 3127.]
2022-06-16 09:20:00,20220616,92000,[15751.65830508 15776.90956002 15789.88583307],[1475. 3682. 3127.]
2022-06-16 09:25:00,20220616,92500,[15752.42058976 15776.90956002 15789.88583307],[1933. 3682. 3127.]
2022-06-16 09:30:00,20220616,93000,[15752.40121889 15776.90956002 15789.88583307],[1969. 3682. 3127.]
2022-06-16 09:35:00,20220616,93500,[15706.09477652 15752.40121889 15776.90956002 15789.88583307],[1857. 1969. 3682. 3127.]
2022-06-16 09:40:00,20220616,94000,"[15684.00327225 15706.09477652 15752.40121889 15776.90956002
 15789.88583307]",[1528. 1857. 1969. 3682. 3127.]
2022-06-16 09:45:00,20220616,94500,"[15687.9823389  15706.09477652 15752.40121889 15776.90956002
 15789.88583307]",[2095. 1857. 1969. 3682. 3127.]
2022-06-16 09:50:00,20220616,95000,"[15688.09593555 15706.09477652 15752.40121889 15776.90956002
 15789.88583307]",[2731. 1857. 1969. 3682. 3127.]
2022-06-16 09:55:00,20220616,95500,"[15684.01334702 15706.09477652 15752.40121889 15776.90956002
 15789.88583307]",[2922. 1857. 1969. 3682. 3127.]
2022-06-16 10:00:00,20220616,100000,[15688.03739246 15752.40121889 15776.90956002 15789.88583307],[3022. 1969. 3682. 3127.]
2022-06-16 10:05:00,20220616,100500,[15682.96251549 15752.40121889 15776.90956002 15789.88583307],[3228. 1969. 3682. 3127.]
2022-06-16 10:10:00,20220616,101000,"[15655.94373259 15682.96251549 15752.40121889 15776.90956002
 15789.88583307]",[1795. 3228. 1969. 3682. 3127.]
2022-06-16 10:15:00,20220616,101500,"[15655.92482206 15682.96251549 15752.40121889 15776.90956002
 15789.88583307]",[2248. 3228. 1969. 3682. 3127.]
2022-06-16 10:20:00,20220616,102000,"[15637.81280445 15655.90784832 15682.96251549 15752.40121889
 15776.90956002 15789.88583307]",[1437. 2268. 3228. 1969. 3682. 3127.]
2022-06-16 10:25:00,20220616,102500,"[15636.97588909 15655.90784832 15682.96251549 15752.40121889
 15776.90956002 15789.88583307]",[1659. 2268. 3228. 1969. 3682. 3127.]
2022-06-16 10:30:00,20220616,103000,"[15636.9752381  15655.90784832 15682.96251549 15752.40121889
 15776.90956002 15789.88583307]",[2100. 2268. 3228. 1969. 3682. 3127.]
2022-06-16 10:35:00,20220616,103500,"[15636.9591029  15655.90784832 15682.96251549 15752.40121889
 15776.90956002 15789.88583307]",[2274. 2268. 3228. 1969. 3682. 3127.]
