date,DATE,TIME,big_vols,big_vols_mv
2021-11-16 08:45:00,20211116,84500,[17663.67117988],[1034.]
2021-11-16 08:50:00,20211116,85000,[17663.67117988 17673.9769688 ],[1034. 1346.]
2021-11-16 08:55:00,20211116,85500,[17663.67117988 17674.33657699],[1034. 1747.]
2021-11-16 09:00:00,20211116,90000,[17675.05240913],[2366.]
2021-11-16 09:05:00,20211116,90500,[17674.171529],[2845.]
2021-11-16 09:10:00,20211116,91000,[17674.14049587],[3509.]
2021-11-16 09:15:00,20211116,91500,[17675.84646878],[3908.]
2021-11-16 09:20:00,20211116,92000,[17675.84646878],[3908.]
2021-11-16 09:25:00,20211116,92500,[17675.84646878],[3908.]
2021-11-16 09:30:00,20211116,93000,[17675.84646878],[3908.]
2021-11-16 09:35:00,20211116,93500,[17675.84646878 17693.09435767],[3908. 3137.]
2021-11-16 09:40:00,20211116,94000,[17675.84646878 17692.16559361],[3908. 3883.]
2021-11-16 09:45:00,20211116,94500,[17675.84646878 17692.12992596],[3908. 4187.]
2021-11-16 09:50:00,20211116,95000,[17675.84646878 17692.12992596 17708.05458515],[3908. 4187. 2290.]
2021-11-16 09:55:00,20211116,95500,[17675.84646878 17692.12992596],[3908. 4187.]
2021-11-16 10:00:00,20211116,100000,[17675.84646878 17695.03573487],[3908. 5205.]
2021-11-16 10:05:00,20211116,100500,[17675.84646878 17694.92072957],[3908. 5702.]
2021-11-16 10:10:00,20211116,101000,[17675.84646878 17693.02154341],[3908. 6220.]
2021-11-16 10:15:00,20211116,101500,[17676.89613238 17692.12468434],[5016. 6336.]
2021-11-16 10:20:00,20211116,102000,[17676.91639376 17692.11666667],[5191. 6360.]
2021-11-16 10:25:00,20211116,102500,[17676.91639376 17694.96858946],[5191. 6813.]
2021-11-16 10:30:00,20211116,103000,[17676.91639376 17694.96858946],[5191. 6813.]
2021-11-16 10:35:00,20211116,103500,[17676.91639376 17694.96858946],[5191. 6813.]
2021-11-16 10:40:00,20211116,104000,[17676.91639376 17694.98676259 17704.83405294],[5191. 6950. 5327.]
2021-11-16 10:45:00,20211116,104500,[17676.91639376 17695.0576976 ],[5191. 7262.]
2021-11-16 10:50:00,20211116,105000,[17676.91639376 17695.06409553],[5191. 7286.]
2021-11-16 10:55:00,20211116,105500,[17676.91639376 17695.06409553],[5191. 7286.]
2021-11-16 11:00:00,20211116,110000,[17676.91639376 17695.0120614 ],[5191. 8208.]
2021-11-16 11:05:00,20211116,110500,[17695.08731785],[8784.]
2021-11-16 11:10:00,20211116,111000,[17696.08776765],[9434.]
2021-11-16 11:15:00,20211116,111500,[17696.08776765],[9434.]
2021-11-16 11:20:00,20211116,112000,[17696.06430901],[9812.]
2021-11-16 11:25:00,20211116,112500,[17696.06430901],[9812.]
2021-11-16 11:30:00,20211116,113000,[17696.06430901],[9812.]
2021-11-16 11:35:00,20211116,113500,[17696.06430901],[9812.]
2021-11-16 11:40:00,20211116,114000,[17696.06430901],[9812.]
2021-11-16 11:45:00,20211116,114500,[17696.06430901],[9812.]
2021-11-16 11:50:00,20211116,115000,[17696.06430901],[9812.]
2021-11-16 11:55:00,20211116,115500,[17696.06430901],[9812.]
2021-11-16 12:00:00,20211116,120000,[17695.0337359],[10019.]
2021-11-16 12:05:00,20211116,120500,[17695.0337359],[10019.]
2021-11-16 12:10:00,20211116,121000,[17695.00658606],[10173.]
2021-11-16 12:15:00,20211116,121500,[17695.00658606],[10173.]
2021-11-16 12:20:00,20211116,122000,[17695.00658606],[10173.]
2021-11-16 12:25:00,20211116,122500,[17695.00658606],[10173.]
2021-11-16 12:30:00,20211116,123000,[17695.00658606],[10173.]
2021-11-16 12:35:00,20211116,123500,[17677.05699831 17695.00658606],[ 8895. 10173.]
2021-11-16 12:40:00,20211116,124000,[17677.09469739 17694.99537037],[ 9071. 10800.]
2021-11-16 12:45:00,20211116,124500,[17691.98288573],[11394.]
2021-11-16 12:50:00,20211116,125000,[17691.94099225],[12134.]
2021-11-16 12:55:00,20211116,125500,[17689.00556496],[12399.]
2021-11-16 13:00:00,20211116,130000,[17691.96637304],[13055.]
2021-11-16 13:05:00,20211116,130500,[17691.04715831],[13126.]
2021-11-16 13:10:00,20211116,131000,[17691.03497409],[13896.]
2021-11-16 13:15:00,20211116,131500,[17692.05745026],[14778.]
2021-11-16 13:20:00,20211116,132000,[17692.04385852],[15550.]
2021-11-16 13:25:00,20211116,132500,[17691.96614866],[16602.]
2021-11-16 13:30:00,20211116,133000,[17691.96000961],[16654.]
2021-11-16 13:35:00,20211116,133500,[17689.01895681],[17830.]
2021-11-16 13:40:00,20211116,134000,[17689.00753539],[18579.]
