date,DATE,TIME,big_vols,big_vols_mv
2022-09-15 08:45:00,20220915,84500,[14579.60500695],[1438.]
2022-09-15 08:50:00,20220915,85000,[14579.59336609],[1628.]
2022-09-15 08:55:00,20220915,85500,[14579.67716142],[2001.]
2022-09-15 09:00:00,20220915,90000,[14579.82613065],[2985.]
2022-09-15 09:05:00,20220915,90500,[14577.98022329],[3135.]
2022-09-15 09:10:00,20220915,91000,[14577.98484028],[3694.]
2022-09-15 09:15:00,20220915,91500,[14577.98484028],[3694.]
2022-09-15 09:20:00,20220915,92000,[14578.04260192],[4366.]
2022-09-15 09:25:00,20220915,92500,[14578.04260192],[4366.]
2022-09-15 09:30:00,20220915,93000,[14578.04260192],[4366.]
2022-09-15 09:35:00,20220915,93500,[14578.04260192 14623.12514758],[4366. 1694.]
2022-09-15 09:40:00,20220915,94000,[14578.04260192 14623.14152047],[4366. 1710.]
2022-09-15 09:45:00,20220915,94500,[14578.04260192 14623.14152047],[4366. 1710.]
2022-09-15 09:50:00,20220915,95000,[14578.04260192 14623.14152047],[4366. 1710.]
2022-09-15 09:55:00,20220915,95500,[14578.04260192 14623.14152047],[4366. 1710.]
2022-09-15 10:00:00,20220915,100000,[14578.04260192 14623.14152047],[4366. 1710.]
2022-09-15 10:05:00,20220915,100500,[14578.04260192 14623.14152047 14669.94975949],[4366. 1710. 1871.]
2022-09-15 10:10:00,20220915,101000,[14578.04260192 14623.14152047 14669.86778243],[4366. 1710. 2390.]
2022-09-15 10:15:00,20220915,101500,[14578.04260192 14623.14152047 14668.19665605],[4366. 1710. 2512.]
2022-09-15 10:20:00,20220915,102000,[14578.04260192 14623.14152047 14669.86771761],[4366. 1710. 2918.]
2022-09-15 10:25:00,20220915,102500,[14578.04260192 14623.14152047 14669.91077019],[4366. 1710. 3194.]
2022-09-15 10:30:00,20220915,103000,[14578.04260192 14623.14152047 14669.92087227],[4366. 1710. 3210.]
2022-09-15 10:35:00,20220915,103500,[14578.04260192 14623.14152047 14669.9997082 ],[4366. 1710. 3427.]
2022-09-15 10:40:00,20220915,104000,[14578.04260192 14623.14152047 14670.01533121],[4366. 1710. 3457.]
2022-09-15 10:45:00,20220915,104500,[14578.04260192 14623.14152047 14670.06191467],[4366. 1710. 3844.]
2022-09-15 10:50:00,20220915,105000,[14578.04260192 14623.14152047 14673.08869957],[4366. 1710. 3991.]
2022-09-15 10:55:00,20220915,105500,[14578.04260192 14623.14152047 14673.13582343],[4366. 1710. 4123.]
