date,DATE,TIME,big_vols,big_vols_mv
2021-04-20 08:45:00,20210420,84500,[17228.95862069 17244.75867386],[ 870. 1297.]
2021-04-20 08:50:00,20210420,85000,[17246.55206698],[1911.]
2021-04-20 08:55:00,20210420,85500,[17245.94252027],[2714.]
2021-04-20 09:00:00,20210420,90000,[17246.75155763],[3852.]
2021-04-20 09:05:00,20210420,90500,[17246.74377857],[3938.]
2021-04-20 09:10:00,20210420,91000,[17229.98851675 17246.71533349],[2090. 4363.]
2021-04-20 09:15:00,20210420,91500,[17246.74474694],[5473.]
2021-04-20 09:20:00,20210420,92000,[17246.77623457],[5832.]
2021-04-20 09:25:00,20210420,92500,[17246.77409189],[6029.]
2021-04-20 09:30:00,20210420,93000,[17246.78911273],[6999.]
2021-04-20 09:35:00,20210420,93500,[17246.81112009],[7428.]
2021-04-20 09:40:00,20210420,94000,[17246.82543413],[7659.]
2021-04-20 09:45:00,20210420,94500,[17246.82543413],[7659.]
2021-04-20 09:50:00,20210420,95000,[17246.82543413],[7659.]
2021-04-20 09:55:00,20210420,95500,[17246.82543413],[7659.]
2021-04-20 10:00:00,20210420,100000,[17246.82543413],[7659.]
2021-04-20 10:05:00,20210420,100500,[17246.8860121],[8922.]
2021-04-20 10:10:00,20210420,101000,[17246.8860121],[8922.]
2021-04-20 10:15:00,20210420,101500,[17246.90601587],[9076.]
2021-04-20 10:20:00,20210420,102000,[17246.90696717],[9717.]
2021-04-20 10:25:00,20210420,102500,[17246.85418955],[10013.]
2021-04-20 10:30:00,20210420,103000,[17246.82891055],[10363.]
2021-04-20 10:35:00,20210420,103500,[17246.81833474],[10701.]
2021-04-20 10:40:00,20210420,104000,[17246.81833474],[10701.]
2021-04-20 10:45:00,20210420,104500,[17246.81833474],[10701.]
2021-04-20 10:50:00,20210420,105000,[17246.81833474],[10701.]
2021-04-20 10:55:00,20210420,105500,[17246.81833474],[10701.]
2021-04-20 11:00:00,20210420,110000,[17246.81833474],[10701.]
2021-04-20 11:05:00,20210420,110500,[17246.81833474 17281.89075773],[10701.  5886.]
2021-04-20 11:10:00,20210420,111000,[17246.81833474 17281.89075773],[10701.  5886.]
2021-04-20 11:15:00,20210420,111500,[17246.81833474 17281.89075773],[10701.  5886.]
2021-04-20 11:20:00,20210420,112000,[17246.81833474 17281.89075773],[10701.  5886.]
