date,DATE,TIME,big_vols,big_vols_mv
2022-08-03 08:45:00,20220803,84500,[14601.44884038 14625.62083781],[1466.  931.]
2022-08-03 08:50:00,20220803,85000,[14601.44884038 14625.62083781 14651.90897269 14668.80561331],[1466.  931.  769.  962.]
2022-08-03 08:55:00,20220803,85500,[14601.44884038 14625.62083781 14656.00688299 14668.95517241],[1466.  931. 1017. 1450.]
2022-08-03 09:00:00,20220803,90000,[14601.44884038 14625.62083781 14668.05029014],[1466.  931. 2068.]
2022-08-03 09:05:00,20220803,90500,[14601.44884038 14625.62083781 14671.79043601 14688.97508039],[1466.  931. 2133. 1244.]
2022-08-03 09:10:00,20220803,91000,"[14601.44884038 14625.62083781 14671.79043601 14688.97508039
 14706.25139147]",[1466.  931. 2133. 1244. 1078.]
2022-08-03 09:15:00,20220803,91500,"[14601.44884038 14625.62083781 14671.79043601 14688.97508039
 14707.90847983]",[1466.  931. 2133. 1244. 1934.]
2022-08-03 09:20:00,20220803,92000,"[14601.44884038 14625.62083781 14671.86202783 14688.98493003
 14707.87550813]",[1466.  931. 2515. 1858. 1968.]
2022-08-03 09:25:00,20220803,92500,[14601.44884038 14668.0517582  14688.98493003 14707.87550813],[1466. 2531. 1858. 1968.]
2022-08-03 09:30:00,20220803,93000,"[14601.44884038 14625.38063862 14668.0517582  14688.98493003
 14707.87550813]",[1466. 1973. 2531. 1858. 1968.]
2022-08-03 09:35:00,20220803,93500,"[14601.44884038 14625.38063862 14659.01691928 14688.98493003
 14707.87550813]",[1466. 1973. 2837. 1858. 1968.]
2022-08-03 09:40:00,20220803,94000,"[14601.44884038 14625.38063862 14644.07440101 14658.99617258
 14688.98493003 14707.87550813]",[1466. 1973. 2379. 2874. 1858. 1968.]
2022-08-03 09:45:00,20220803,94500,"[14601.44884038 14625.38063862 14645.86997369 14658.99617258
 14688.98493003 14707.87550813]",[1466. 1973. 2661. 2874. 1858. 1968.]
2022-08-03 09:50:00,20220803,95000,"[14601.44884038 14645.88290252 14659.04679102 14688.98493003
 14707.87550813]",[1466. 3211. 3163. 1858. 1968.]
2022-08-03 09:55:00,20220803,95500,[14601.44884038 14645.86480752 14659.06496009 14707.87550813],[1466. 3299. 3633. 1968.]
2022-08-03 10:00:00,20220803,100000,[14601.44884038 14645.86480752 14659.06496009 14688.08396947],[1466. 3299. 3633. 2620.]
2022-08-03 10:05:00,20220803,100500,[14601.44884038 14645.86480752 14659.06496009 14688.12206148],[1466. 3299. 3633. 3318.]
2022-08-03 10:10:00,20220803,101000,[14601.44884038 14645.86480752 14659.06496009 14688.19621814],[1466. 3299. 3633. 3649.]
2022-08-03 10:15:00,20220803,101500,[14601.44884038 14645.86480752 14659.06496009 14688.19176707],[1466. 3299. 3633. 3984.]
2022-08-03 10:20:00,20220803,102000,[14601.44884038 14645.86480752 14668.         14688.19026329],[1466. 3299. 3856. 4026.]
2022-08-03 10:25:00,20220803,102500,[14601.44884038 14659.05222117 14688.19026329],[1466. 4232. 4026.]
2022-08-03 10:30:00,20220803,103000,[14601.44884038 14659.05222117 14688.17657213],[1466. 4232. 4055.]
2022-08-03 10:35:00,20220803,103500,[14601.44884038 14668.02272226 14688.17657213],[1466. 4533. 4055.]
2022-08-03 10:40:00,20220803,104000,[14601.44884038 14668.05477759 14688.17657213],[1466. 4856. 4055.]
2022-08-03 10:45:00,20220803,104500,[14601.44884038 14668.04851485 14688.17657213],[1466. 5050. 4055.]
2022-08-03 10:50:00,20220803,105000,[14601.44884038 14668.04851485 14688.17657213],[1466. 5050. 4055.]
2022-08-03 10:55:00,20220803,105500,[14601.44884038 14668.05804067 14688.17657213],[1466. 5410. 4055.]
2022-08-03 11:00:00,20220803,110000,[14601.44884038 14668.05839956],[1466. 5411.]
2022-08-03 11:05:00,20220803,110500,[14601.44884038 14668.07979596],[1466. 5489.]
2022-08-03 11:10:00,20220803,111000,[14601.44884038 14668.08049536],[1466. 5491.]
2022-08-03 11:15:00,20220803,111500,[14601.44884038 14668.08049536],[1466. 5491.]
2022-08-03 11:20:00,20220803,112000,[14601.44884038 14678.10489385],[1466. 5558.]
2022-08-03 11:25:00,20220803,112500,[14601.44884038 14678.10760275],[1466. 5669.]
2022-08-03 11:30:00,20220803,113000,[14601.44884038 14678.09991632],[1466. 5975.]
2022-08-03 11:35:00,20220803,113500,[14678.10499112],[6191.]
2022-08-03 11:40:00,20220803,114000,[14678.09800797],[6275.]
2022-08-03 11:45:00,20220803,114500,[14678.07108189],[6387.]
2022-08-03 11:50:00,20220803,115000,[14678.06750153],[6548.]
2022-08-03 11:55:00,20220803,115500,[14678.06750153],[6548.]
2022-08-03 12:00:00,20220803,120000,[14678.06750153],[6548.]
2022-08-03 12:05:00,20220803,120500,[14678.06750153],[6548.]
2022-08-03 12:10:00,20220803,121000,[14678.06750153],[6548.]
2022-08-03 12:15:00,20220803,121500,[14668.04133711],[6701.]
2022-08-03 12:20:00,20220803,122000,[14674.98938002],[6968.]
2022-08-03 12:25:00,20220803,122500,[14674.00918836],[7183.]
2022-08-03 12:30:00,20220803,123000,[14674.00918836],[7183.]
2022-08-03 12:35:00,20220803,123500,[14674.00918836],[7183.]
2022-08-03 12:40:00,20220803,124000,[14674.00918836],[7183.]
2022-08-03 12:45:00,20220803,124500,[14674.00918836],[7183.]
2022-08-03 12:50:00,20220803,125000,[14674.00918836],[7183.]
2022-08-03 12:55:00,20220803,125500,[14648.1397739  14674.00918836],[5838. 7183.]
2022-08-03 13:00:00,20220803,130000,[14645.95809044 14674.00918836],[6347. 7183.]
2022-08-03 13:05:00,20220803,130500,[14645.94860545 14674.00918836],[6382. 7183.]
2022-08-03 13:10:00,20220803,131000,[14645.94072464 14674.00918836],[6900. 7183.]
2022-08-03 13:15:00,20220803,131500,[14645.9517192  14660.04083246],[6980. 7592.]
2022-08-03 13:20:00,20220803,132000,[14645.9517192  14660.05093802],[6980. 8422.]
2022-08-03 13:25:00,20220803,132500,[14645.9517192  14660.05886516 14673.95774143],[6980. 8477. 8377.]
2022-08-03 13:30:00,20220803,133000,[14660.05886516 14673.96581488],[8477. 8805.]
2022-08-03 13:35:00,20220803,133500,[14660.05886516 14673.9690178 ],[8477. 9102.]
2022-08-03 13:40:00,20220803,134000,[14660.05886516 14678.21993369],[8477. 9953.]
