date,DATE,TIME,big_vols,big_vols_mv
2022-08-15 08:45:00,20220815,84500,[15349.34632307 15367.9040959 ],[1591. 1001.]
2022-08-15 08:50:00,20220815,85000,[15349.34632307 15363.10865191],[1591. 1491.]
2022-08-15 08:55:00,20220815,85500,[15349.93494973 15360.9452381 ],[1691. 2100.]
2022-08-15 09:00:00,20220815,90000,[15349.26539893 15359.95120859],[2419. 2234.]
2022-08-15 09:05:00,20220815,90500,[15349.26902765],[3219.]
2022-08-15 09:10:00,20220815,91000,[15349.25524691],[3240.]
2022-08-15 09:15:00,20220815,91500,[15319.97562833 15349.25524691],[1313. 3240.]
2022-08-15 09:20:00,20220815,92000,[15319.86442105 15349.25524691],[2375. 3240.]
2022-08-15 09:25:00,20220815,92500,[15319.86442105 15337.95539033 15349.25524691],[2375. 2690. 3240.]
2022-08-15 09:30:00,20220815,93000,[15319.86442105 15337.92972222 15349.19025387],[2375. 3600. 3427.]
2022-08-15 09:35:00,20220815,93500,[15319.86442105 15337.94997266 15350.98015192],[2375. 3658. 4081.]
2022-08-15 09:40:00,20220815,94000,[15319.86442105 15350.96388515],[2375. 4458.]
2022-08-15 09:45:00,20220815,94500,[15319.86442105 15350.96388515],[2375. 4458.]
2022-08-15 09:50:00,20220815,95000,[15319.86442105 15350.96388515],[2375. 4458.]
2022-08-15 09:55:00,20220815,95500,[15319.86442105 15350.96388515],[2375. 4458.]
2022-08-15 10:00:00,20220815,100000,[15319.86442105 15350.96388515 15381.91860074],[2375. 4458. 2973.]
2022-08-15 10:05:00,20220815,100500,[15319.86442105 15350.96388515 15367.1453505  15381.87118644],[2375. 4458. 3495. 3245.]
2022-08-15 10:10:00,20220815,101000,[15319.86442105 15350.96388515 15367.1453505  15381.0994408 ],[2375. 4458. 3495. 4113.]
2022-08-15 10:15:00,20220815,101500,[15319.86442105 15350.96388515 15367.11308677 15381.0994408 ],[2375. 4458. 4218. 4113.]
2022-08-15 10:20:00,20220815,102000,[15319.86442105 15350.96388515 15367.05810334],[2375. 4458. 4819.]
2022-08-15 10:25:00,20220815,102500,[15319.86442105 15350.96388515 15367.05810334 15381.91069182],[2375. 4458. 4819. 4770.]
2022-08-15 10:30:00,20220815,103000,[15319.86442105 15350.96388515 15378.0364553 ],[2375. 4458. 5157.]
2022-08-15 10:35:00,20220815,103500,[15319.86442105 15350.96388515 15381.06389518],[2375. 4458. 6182.]
2022-08-15 10:40:00,20220815,104000,[15319.86442105 15350.96388515 15381.89267132],[2375. 4458. 6727.]
2022-08-15 10:45:00,20220815,104500,[15319.86442105 15350.96388515 15381.85353812],[2375. 4458. 7292.]
2022-08-15 10:50:00,20220815,105000,[15319.86442105 15350.96388515 15381.06196717],[2375. 4458. 7859.]
2022-08-15 10:55:00,20220815,105500,[15319.86442105 15350.96388515 15381.060692  ],[2375. 4458. 8815.]
2022-08-15 11:00:00,20220815,110000,[15350.96388515 15380.16357834],[4458. 9714.]
2022-08-15 11:05:00,20220815,110500,[15350.96388515 15380.14465098],[ 4458. 10114.]
2022-08-15 11:10:00,20220815,111000,[15380.15212044],[10163.]
2022-08-15 11:15:00,20220815,111500,[15380.15212044],[10163.]
2022-08-15 11:20:00,20220815,112000,[15380.15212044],[10163.]
2022-08-15 11:25:00,20220815,112500,[15380.16788535],[10257.]
2022-08-15 11:30:00,20220815,113000,[15380.16788535],[10257.]
2022-08-15 11:35:00,20220815,113500,[15380.16788535],[10257.]
2022-08-15 11:40:00,20220815,114000,[15380.16788535],[10257.]
2022-08-15 11:45:00,20220815,114500,[15380.16788535],[10257.]
2022-08-15 11:50:00,20220815,115000,[15380.16788535],[10257.]
2022-08-15 11:55:00,20220815,115500,[15380.16788535],[10257.]
2022-08-15 12:00:00,20220815,120000,[15380.16788535 15404.65027166],[10257.  3497.]
