date,DATE,TIME,big_vols,big_vols_mv
2022-05-12 08:45:00,20220512,84500,[15800.99507042],[1420.]
2022-05-12 08:50:00,20220512,85000,[15800.99507042 15819.03164557],[1420.  948.]
2022-05-12 08:55:00,20220512,85500,[15800.99507042 15819.90357853 15848.1875    ],[1420. 1006.  416.]
2022-05-12 09:00:00,20220512,90000,[15800.99507042 15819.90357853 15856.87483871],[1420. 1006. 1550.]
2022-05-12 09:05:00,20220512,90500,[15800.99507042 15831.83419689 15855.97813239],[1420. 1737. 1692.]
2022-05-12 09:10:00,20220512,91000,[15800.99507042 15829.95422886 15848.0870063 ],[1420. 2010. 1747.]
2022-05-12 09:15:00,20220512,91500,[15800.99507042 15829.93523895 15856.03239241],[1420. 2239. 2161.]
2022-05-12 09:20:00,20220512,92000,[15802.54947485 15830.86862334 15849.09165903],[1809. 2862. 2182.]
2022-05-12 09:25:00,20220512,92500,[15806.85909609 15830.86862334 15849.09165903],[2633. 2862. 2182.]
2022-05-12 09:30:00,20220512,93000,[15806.8952827  15829.98120673 15845.03824757],[2989. 3033. 2876.]
2022-05-12 09:35:00,20220512,93500,[15806.8952827  15831.7944748  15845.00665115],[2989. 3294. 3007.]
2022-05-12 09:40:00,20220512,94000,[15806.8952827  15831.78457223 15844.08842222],[2989. 3565. 3619.]
2022-05-12 09:45:00,20220512,94500,[15806.8952827  15831.78457223 15844.10002733],[2989. 3565. 3659.]
2022-05-12 09:50:00,20220512,95000,[15806.8952827  15831.78457223 15844.10002733 15869.95518001],[2989. 3565. 3659. 1361.]
2022-05-12 09:55:00,20220512,95500,[15806.8952827  15831.78457223 15844.10002733],[2989. 3565. 3659.]
2022-05-12 10:00:00,20220512,100000,[15806.8952827  15831.78457223 15844.10002733],[2989. 3565. 3659.]
2022-05-12 10:05:00,20220512,100500,[15806.8952827  15831.78457223 15844.10002733],[2989. 3565. 3659.]
2022-05-12 10:10:00,20220512,101000,[15806.8952827  15831.78457223 15844.10002733],[2989. 3565. 3659.]
2022-05-12 10:15:00,20220512,101500,[15806.8952827  15831.78457223 15844.10002733 15868.18506944],[2989. 3565. 3659. 2880.]
2022-05-12 10:20:00,20220512,102000,[15806.8952827  15831.78457223 15844.10002733 15874.0469931 ],[2989. 3565. 3659. 3043.]
2022-05-12 10:25:00,20220512,102500,[15806.8952827  15831.78457223 15844.10002733 15874.04840183],[2989. 3565. 3659. 3285.]
2022-05-12 10:30:00,20220512,103000,[15806.8952827  15831.78457223 15844.13751987],[2989. 3565. 3774.]
2022-05-12 10:35:00,20220512,103500,[15806.8952827  15831.78457223 15848.13803331],[2989. 3565. 4383.]
2022-05-12 10:40:00,20220512,104000,[15806.8952827  15831.81656805 15848.13803331],[2989. 4225. 4383.]
2022-05-12 10:45:00,20220512,104500,[15806.95939413 15831.77148039 15848.13803331],[3103. 4411. 4383.]
2022-05-12 10:50:00,20220512,105000,[15806.91276157 15831.77148039 15848.13803331],[3393. 4411. 4383.]
2022-05-12 10:55:00,20220512,105500,[15806.88055872 15831.77148039 15848.13803331],[3508. 4411. 4383.]
2022-05-12 11:00:00,20220512,110000,[15801.57966189 15831.77148039 15848.13803331],[3904. 4411. 4383.]
