date,DATE,TIME,big_vols,big_vols_mv
2022-02-18 08:45:00,20220218,84500,[18063.51629726],[1534.]
2022-02-18 08:50:00,20220218,85000,[18063.56526611],[1785.]
2022-02-18 08:55:00,20220218,85500,[18070.04434389],[2210.]
2022-02-18 09:00:00,20220218,90000,[18070.00150602],[2656.]
2022-02-18 09:05:00,20220218,90500,[18070.00150602 18098.01849642],[2656. 1676.]
2022-02-18 09:10:00,20220218,91000,[18070.00150602 18095.98900574],[2656. 2092.]
2022-02-18 09:15:00,20220218,91500,[18070.00150602 18097.88844302],[2656. 2492.]
2022-02-18 09:20:00,20220218,92000,[18070.00150602 18097.88844302],[2656. 2492.]
2022-02-18 09:25:00,20220218,92500,[18070.00150602 18097.88844302 18118.08486384],[2656. 2492. 1579.]
2022-02-18 09:30:00,20220218,93000,[18070.00150602 18097.88844302 18119.14569161],[2656. 2492. 1764.]
2022-02-18 09:35:00,20220218,93500,[18070.00150602 18097.88844302 18119.14569161 18164.234375  ],[2656. 2492. 1764. 1984.]
2022-02-18 09:40:00,20220218,94000,"[18070.00150602 18097.88844302 18119.14569161 18164.234375
 18189.01190476]",[2656. 2492. 1764. 1984. 1596.]
2022-02-18 09:45:00,20220218,94500,"[18070.00150602 18097.88844302 18119.14569161 18165.73885659
 18181.7687991 ]",[2656. 2492. 1764. 2064. 2673.]
2022-02-18 09:50:00,20220218,95000,"[18070.00150602 18097.88844302 18119.14569161 18165.73885659
 18181.96076585]",[2656. 2492. 1764. 2064. 3186.]
2022-02-18 09:55:00,20220218,95500,"[18070.00150602 18097.88844302 18119.14569161 18165.73885659
 18181.96076585]",[2656. 2492. 1764. 2064. 3186.]
2022-02-18 10:00:00,20220218,100000,"[18070.00150602 18097.88844302 18119.14569161 18165.73885659
 18181.96076585]",[2656. 2492. 1764. 2064. 3186.]
2022-02-18 10:05:00,20220218,100500,"[18070.00150602 18097.88844302 18119.14569161 18165.73885659
 18181.96923555]",[2656. 2492. 1764. 2064. 3218.]
2022-02-18 10:10:00,20220218,101000,"[18070.00150602 18097.88844302 18119.14569161 18165.73885659
 18181.89775691]",[2656. 2492. 1764. 2064. 3834.]
2022-02-18 10:15:00,20220218,101500,"[18070.00150602 18097.88844302 18119.14569161 18165.73885659
 18181.89775691]",[2656. 2492. 1764. 2064. 3834.]
2022-02-18 10:20:00,20220218,102000,"[18070.00150602 18097.88844302 18119.14569161 18165.73885659
 18189.81310124]",[2656. 2492. 1764. 2064. 4366.]
