date,DATE,TIME,big_vols,big_vols_mv
2022-11-14 08:45:00,20221114,84500,[14158.21116816],[1558.]
2022-11-14 08:50:00,20221114,85000,[14143.03527607 14158.21116816],[1304. 1558.]
2022-11-14 08:55:00,20221114,85500,[14121.83662714 14143.03527607 14158.21116816],[ 759. 1304. 1558.]
2022-11-14 09:00:00,20221114,90000,[14113.25649179 14143.03527607 14158.21116816],[1887. 1304. 1558.]
2022-11-14 09:05:00,20221114,90500,[14114.8506559  14130.2033068  14158.21116816],[1982. 1633. 1558.]
2022-11-14 09:10:00,20221114,91000,[14120.90524535 14158.21116816],[2364. 1558.]
2022-11-14 09:15:00,20221114,91500,[14120.93524485 14158.21116816],[3104. 1558.]
2022-11-14 09:20:00,20221114,92000,[14120.9513759  14158.21116816],[3743. 1558.]
2022-11-14 09:25:00,20221114,92500,[14121.03155941 14158.21116816],[4848. 1558.]
2022-11-14 09:30:00,20221114,93000,[14121.82526423 14158.21116816],[5866. 1558.]
2022-11-14 09:35:00,20221114,93500,[14121.78394766 14158.21116816],[6267. 1558.]
2022-11-14 09:40:00,20221114,94000,[14121.77397583 14158.21116816],[6371. 1558.]
2022-11-14 09:45:00,20221114,94500,[14108.81603448 14120.9453492  14158.21116816],[5800. 6386. 1558.]
2022-11-14 09:50:00,20221114,95000,[14108.80358974 14120.9453492  14158.21116816],[5850. 6386. 1558.]
2022-11-14 09:55:00,20221114,95500,[14090.09257143 14108.80358974 14120.9453492  14158.21116816],[2625. 5850. 6386. 1558.]
2022-11-14 10:00:00,20221114,100000,[14108.8443418  14120.9453492  14158.21116816],[6495. 6386. 1558.]
2022-11-14 10:05:00,20221114,100500,[14108.8443418  14120.9453492  14158.21116816],[6495. 6386. 1558.]
2022-11-14 10:10:00,20221114,101000,[14108.91452746 14158.21116816],[6973. 1558.]
2022-11-14 10:15:00,20221114,101500,[14108.95601604],[7480.]
2022-11-14 10:20:00,20221114,102000,[14119.10486241],[7486.]
2022-11-14 10:25:00,20221114,102500,[14119.10486241],[7486.]
2022-11-14 10:30:00,20221114,103000,[14119.10486241],[7486.]
2022-11-14 10:35:00,20221114,103500,[14119.10486241],[7486.]
2022-11-14 10:40:00,20221114,104000,[14119.10486241],[7486.]
2022-11-14 10:45:00,20221114,104500,[14119.10486241 14147.01585014],[7486. 4164.]
2022-11-14 10:50:00,20221114,105000,[14119.10486241 14147.02088717],[7486. 4644.]
2022-11-14 10:55:00,20221114,105500,[14119.10486241 14147.02088717],[7486. 4644.]
2022-11-14 11:00:00,20221114,110000,[14119.10486241 14147.02088717],[7486. 4644.]
2022-11-14 11:05:00,20221114,110500,[14119.10486241 14147.02088717],[7486. 4644.]
2022-11-14 11:10:00,20221114,111000,[14119.10486241 14147.02088717],[7486. 4644.]
2022-11-14 11:15:00,20221114,111500,[14119.10486241 14147.02088717 14181.93380761],[7486. 4644. 3233.]
2022-11-14 11:20:00,20221114,112000,[14119.10486241 14147.02088717 14181.96813441],[7486. 4644. 3452.]
2022-11-14 11:25:00,20221114,112500,[14119.10486241 14147.02088717 14186.01057484],[7486. 4644. 3688.]
2022-11-14 11:30:00,20221114,113000,[14119.10486241 14147.02088717 14185.09410953],[7486. 4644. 4346.]
2022-11-14 11:35:00,20221114,113500,[14119.10486241 14147.02088717 14170.12951874 14185.09410953],[7486. 4644. 4509. 4346.]
2022-11-14 11:40:00,20221114,114000,[14119.10486241 14147.02088717 14178.12742382],[7486. 4644. 5054.]
2022-11-14 11:45:00,20221114,114500,[14119.10486241 14147.02088717 14179.99705936],[7486. 4644. 5441.]
2022-11-14 11:50:00,20221114,115000,[14119.10486241 14147.02088717 14180.01093164],[7486. 4644. 6129.]
2022-11-14 11:55:00,20221114,115500,[14119.10486241 14147.02088717 14180.01692816],[7486. 4644. 7266.]
2022-11-14 12:00:00,20221114,120000,[14119.10486241 14147.02088717 14180.01692816],[7486. 4644. 7266.]
2022-11-14 12:05:00,20221114,120500,[14119.10486241 14147.02088717 14179.94364754],[7486. 4644. 7808.]
2022-11-14 12:10:00,20221114,121000,[14119.10486241 14148.94370249 14179.94364754],[7486. 4867. 7808.]
2022-11-14 12:15:00,20221114,121500,[14119.10486241 14148.95682551 14179.94364754],[7486. 5582. 7808.]
2022-11-14 12:20:00,20221114,122000,[14119.10486241 14148.86052047 14179.94364754],[7486. 6302. 7808.]
2022-11-14 12:25:00,20221114,122500,[14119.10486241 14146.98597082 14179.94364754],[7486. 7128. 7808.]
2022-11-14 12:30:00,20221114,123000,[14119.10486241 14148.90334981 14179.94364754],[7486. 7284. 7808.]
2022-11-14 12:35:00,20221114,123500,[14119.10486241 14148.89563863 14179.94364754],[7486. 7704. 7808.]
2022-11-14 12:40:00,20221114,124000,[14119.10486241 14148.89563863 14179.94364754],[7486. 7704. 7808.]
2022-11-14 12:45:00,20221114,124500,[14119.10486241 14148.95502249 14179.94364754],[7486. 8004. 7808.]
2022-11-14 12:50:00,20221114,125000,[14119.10486241 14148.9441967  14179.94364754],[7486. 8297. 7808.]
2022-11-14 12:55:00,20221114,125500,[14119.10486241 14153.03457289 14179.94364754],[7486. 8417. 7808.]
2022-11-14 13:00:00,20221114,130000,[14119.10486241 14153.03786594 14179.94364754],[7486. 8847. 7808.]
2022-11-14 13:05:00,20221114,130500,[14119.10486241 14153.01723422 14179.94364754],[7486. 9632. 7808.]
