date,DATE,TIME,big_vols,big_vols_mv
2021-01-15 08:45:00,20210115,84500,[15950.93544601 15983.14111365 15997.14630225],[ 852. 1311. 1244.]
2021-01-15 08:50:00,20210115,85000,[15950.93544601 15983.32506739 15994.93893591],[ 852. 1855. 1654.]
2021-01-15 08:55:00,20210115,85500,[15950.93544601 15983.16512605],[ 852. 2380.]
2021-01-15 09:00:00,20210115,90000,[15950.49369544 15983.19092689],[1031. 3064.]
2021-01-15 09:05:00,20210115,90500,[15907.95166353 15950.49369544 15983.19092689],[1593. 1031. 3064.]
2021-01-15 09:10:00,20210115,91000,[15906.93490879 15928.08611825 15950.49369544 15983.19092689],[2412. 1556. 1031. 3064.]
2021-01-15 09:15:00,20210115,91500,"[15896.02215608 15906.95230649 15928.11280488 15950.49369544
 15983.19092689]",[3024. 2558. 2296. 1031. 3064.]
2021-01-15 09:20:00,20210115,92000,"[15895.00910194 15906.95230649 15928.11280488 15950.49369544
 15983.19092689]",[3296. 2558. 2296. 1031. 3064.]
2021-01-15 09:25:00,20210115,92500,[15894.99405245 15906.95230649 15928.11280488 15983.19092689],[3699. 2558. 2296. 3064.]
2021-01-15 09:30:00,20210115,93000,[15894.9732906  15906.95230649 15928.11280488 15983.19092689],[3744. 2558. 2296. 3064.]
2021-01-15 09:35:00,20210115,93500,[15894.9732906  15906.95230649 15928.11280488 15983.19092689],[3744. 2558. 2296. 3064.]
2021-01-15 09:40:00,20210115,94000,"[15841.93211009 15894.9732906  15906.95230649 15928.11280488
 15983.19092689]",[1635. 3744. 2558. 2296. 3064.]
2021-01-15 09:45:00,20210115,94500,"[15801.96216531 15841.93211009 15894.9732906  15906.95230649
 15928.11280488 15983.19092689]",[1718. 1635. 3744. 2558. 2296. 3064.]
2021-01-15 09:50:00,20210115,95000,"[15806.07200682 15841.93211009 15894.9732906  15906.95230649
 15928.11280488 15983.19092689]",[2347. 1635. 3744. 2558. 2296. 3064.]
2021-01-15 09:55:00,20210115,95500,"[15801.79352546 15841.93211009 15894.9732906  15906.95230649
 15928.11280488 15983.19092689]",[2533. 1635. 3744. 2558. 2296. 3064.]
2021-01-15 10:00:00,20210115,100000,"[15801.8279846  15841.93211009 15894.9732906  15906.95230649
 15928.11280488 15983.19092689]",[3116. 1635. 3744. 2558. 2296. 3064.]
2021-01-15 10:05:00,20210115,100500,"[15806.02842074 15831.65787234 15894.9732906  15906.95230649
 15928.11280488 15983.19092689]",[3413. 2350. 3744. 2558. 2296. 3064.]
2021-01-15 10:10:00,20210115,101000,"[15808.10180154 15831.70150435 15894.9732906  15906.95230649
 15928.11280488 15983.19092689]",[3497. 2526. 3744. 2558. 2296. 3064.]
2021-01-15 10:15:00,20210115,101500,"[15808.15103889 15831.70150435 15894.9732906  15906.95230649
 15928.11280488 15983.19092689]",[3754. 2526. 3744. 2558. 2296. 3064.]
2021-01-15 10:20:00,20210115,102000,"[15808.15503053 15830.03102699 15894.9732906  15906.95230649
 15928.11280488 15983.19092689]",[3767. 3223. 3744. 2558. 2296. 3064.]
2021-01-15 10:25:00,20210115,102500,"[15808.15503053 15831.68112798 15894.9732906  15906.95230649
 15928.11280488 15983.19092689]",[3767. 3227. 3744. 2558. 2296. 3064.]
2021-01-15 10:30:00,20210115,103000,"[15808.15503053 15840.04468139 15894.9732906  15906.95230649
 15928.11280488 15983.19092689]",[3767. 3939. 3744. 2558. 2296. 3064.]
2021-01-15 10:35:00,20210115,103500,"[15808.15503053 15840.07611487 15894.9732906  15906.95230649
 15928.11280488 15983.19092689]",[3767. 4283. 3744. 2558. 2296. 3064.]
