date,DATE,TIME,big_vols,big_vols_mv
2021-02-26 08:45:00,20210226,84500,[16018.29805616],[1389.]
2021-02-26 08:50:00,20210226,85000,[16021.84456588],[1647.]
2021-02-26 08:55:00,20210226,85500,[16025.89283668 16065.93786127 16081.77020602],[1745.  692.  631.]
2021-02-26 09:00:00,20210226,90000,[16025.895249   16079.97672552],[1747. 1246.]
2021-02-26 09:05:00,20210226,90500,[16025.895249   16079.97699707],[1747. 2391.]
2021-02-26 09:10:00,20210226,91000,[16025.895249   16058.10749186 16078.19541054],[1747. 2456. 2789.]
2021-02-26 09:15:00,20210226,91500,[16025.895249   16058.14167566 16078.25126828],[1747. 2781. 3351.]
2021-02-26 09:20:00,20210226,92000,[16025.895249   16058.14167566 16079.97702104 16100.80704177],[1747. 2781. 3612. 2897.]
2021-02-26 09:25:00,20210226,92500,[16025.895249   16058.09733488 16079.98851149 16100.81574753],[1747. 3452. 4004. 3137.]
2021-02-26 09:30:00,20210226,93000,"[15956.03304774 15986.04309064 16011.84333996 16058.05982682
 16079.98851149 16100.81574753]",[ 817. 1346. 2515. 3811. 4004. 3137.]
2021-02-26 09:35:00,20210226,93500,"[15966.00686741 15986.07985314 16011.84333996 16058.05982682
 16079.98851149 16100.81574753]",[1893. 2179. 2515. 3811. 4004. 3137.]
2021-02-26 09:40:00,20210226,94000,"[15966.01925872 15986.04569688 16011.84333996 16058.05982682
 16079.98851149 16100.81574753]",[2752. 2626. 2515. 3811. 4004. 3137.]
2021-02-26 09:45:00,20210226,94500,"[15885.96728972 15966.01925872 15986.04569688 16011.84333996
 16058.05982682 16079.98851149 16100.81574753]",[2354. 2752. 2626. 2515. 3811. 4004. 3137.]
2021-02-26 09:50:00,20210226,95000,"[15891.09058557 15966.10864745 16011.84333996 16058.05982682
 16079.98851149 16100.81574753]",[3091. 3157. 2515. 3811. 4004. 3137.]
2021-02-26 09:55:00,20210226,95500,"[15891.09058557 15966.09041689 16011.84333996 16058.05982682
 16079.98851149 16100.81574753]",[3091. 3694. 2515. 3811. 4004. 3137.]
2021-02-26 10:00:00,20210226,100000,"[15891.09058557 15972.03193754 16011.84333996 16058.05982682
 16079.98851149 16100.81574753]",[3091. 4227. 2515. 3811. 4004. 3137.]
2021-02-26 10:05:00,20210226,100500,"[15891.09058557 15972.03445899 16011.84333996 16058.05982682
 16079.98851149 16100.81574753]",[3091. 4353. 2515. 3811. 4004. 3137.]
2021-02-26 10:10:00,20210226,101000,"[15891.09058557 15972.03226514 16011.83940774 16058.05982682
 16079.98851149 16100.81574753]",[3091. 4556. 3512. 3811. 4004. 3137.]
