date,DATE,TIME,big_vols,big_vols_mv
2022-04-14 08:45:00,20220414,84500,[17335.92546584],[966.]
2022-04-14 08:50:00,20220414,85000,[17336.92884764],[1293.]
2022-04-14 08:55:00,20220414,85500,[17337.97184624],[1847.]
2022-04-14 09:00:00,20220414,90000,[17308.22403734 17335.90686275],[ 857. 2448.]
2022-04-14 09:05:00,20220414,90500,[17303.04226312 17335.90686275],[1467. 2448.]
2022-04-14 09:10:00,20220414,91000,[17298.94600804 17335.90686275],[1741. 2448.]
2022-04-14 09:15:00,20220414,91500,[17298.915799   17335.90686275],[2209. 2448.]
2022-04-14 09:20:00,20220414,92000,[17298.915799   17335.90686275],[2209. 2448.]
2022-04-14 09:25:00,20220414,92500,[17274.99403183 17298.915799   17335.90686275],[1508. 2209. 2448.]
2022-04-14 09:30:00,20220414,93000,[17281.01353462 17298.915799   17335.90686275],[1921. 2209. 2448.]
2022-04-14 09:35:00,20220414,93500,[17281.0852787  17295.98735281 17335.90686275],[2099. 2293. 2448.]
2022-04-14 09:40:00,20220414,94000,[17281.03054101 17295.98735281 17335.90686275],[2292. 2293. 2448.]
2022-04-14 09:45:00,20220414,94500,[17281.03054101 17295.98735281 17335.90686275],[2292. 2293. 2448.]
2022-04-14 09:50:00,20220414,95000,[17274.00669014 17295.98735281 17335.90686275],[2840. 2293. 2448.]
2022-04-14 09:55:00,20220414,95500,[17274.02869253 17295.98735281 17335.90686275],[3067. 2293. 2448.]
2022-04-14 10:00:00,20220414,100000,[17281.04559748 17293.94515074 17335.90686275],[3180. 2753. 2448.]
2022-04-14 10:05:00,20220414,100500,[17281.04559748 17293.96379197 17335.90686275],[3180. 3038. 2448.]
2022-04-14 10:10:00,20220414,101000,[17281.04559748 17293.96379197 17335.90686275],[3180. 3038. 2448.]
2022-04-14 10:15:00,20220414,101500,[17281.04559748 17305.12451897 17335.90686275],[3180. 3638. 2448.]
2022-04-14 10:20:00,20220414,102000,[17281.04559748 17305.11208267 17335.90686275],[3180. 3774. 2448.]
2022-04-14 10:25:00,20220414,102500,[17281.06716187 17305.11208267 17335.90686275],[3231. 3774. 2448.]
2022-04-14 10:30:00,20220414,103000,[17280.9862013  17305.11208267 17335.90686275],[3696. 3774. 2448.]
2022-04-14 10:35:00,20220414,103500,[17281.00280112 17305.11208267 17335.90686275],[4284. 3774. 2448.]
2022-04-14 10:40:00,20220414,104000,[17281.00684775 17305.11208267 17335.90686275],[4381. 3774. 2448.]
2022-04-14 10:45:00,20220414,104500,[17280.96401028 17305.11208267 17335.90686275],[4668. 3774. 2448.]
2022-04-14 10:50:00,20220414,105000,[17280.94231901 17305.11208267 17335.90686275],[5097. 3774. 2448.]
2022-04-14 10:55:00,20220414,105500,[17280.92661536 17305.11208267 17335.90686275],[5587. 3774. 2448.]
2022-04-14 11:00:00,20220414,110000,[17280.93637476 17305.0849081  17335.90686275],[5721. 3863. 2448.]
2022-04-14 11:05:00,20220414,110500,[17280.93737236 17305.10883514 17335.90686275],[5876. 4052. 2448.]
2022-04-14 11:10:00,20220414,111000,[17280.93737236 17305.10883514 17335.90686275],[5876. 4052. 2448.]
2022-04-14 11:15:00,20220414,111500,[17280.92320396 17305.10883514 17335.90686275],[6055. 4052. 2448.]
2022-04-14 11:20:00,20220414,112000,[17280.95273711 17335.90686275],[6284. 2448.]
2022-04-14 11:25:00,20220414,112500,[17280.9522293  17335.90686275],[6594. 2448.]
2022-04-14 11:30:00,20220414,113000,[17280.94531722 17335.90686275],[6620. 2448.]
2022-04-14 11:35:00,20220414,113500,[17280.93402154 17335.90686275],[6684. 2448.]
2022-04-14 11:40:00,20220414,114000,[17280.92969996 17335.90686275],[6899. 2448.]
2022-04-14 11:45:00,20220414,114500,[17280.93249459 17335.90686275],[7392. 2448.]
2022-04-14 11:50:00,20220414,115000,[17280.92956828 17335.90686275],[7667. 2448.]
2022-04-14 11:55:00,20220414,115500,[17280.92956828 17335.90686275],[7667. 2448.]
2022-04-14 12:00:00,20220414,120000,[17280.92956828 17335.90686275],[7667. 2448.]
2022-04-14 12:05:00,20220414,120500,[17280.92250691 17335.90686275],[7962. 2448.]
2022-04-14 12:10:00,20220414,121000,[17280.8880862  17335.90686275],[8167. 2448.]
2022-04-14 12:15:00,20220414,121500,[17280.90521215 17335.90686275],[8461. 2448.]
2022-04-14 12:20:00,20220414,122000,[17280.9037353  17335.90686275],[8674. 2448.]
2022-04-14 12:25:00,20220414,122500,[17280.90560673 17335.90686275],[8793. 2448.]
2022-04-14 12:30:00,20220414,123000,[17280.92530608 17335.90686275],[8903. 2448.]
2022-04-14 12:35:00,20220414,123500,[17280.92825112 17335.90686275],[9143. 2448.]
2022-04-14 12:40:00,20220414,124000,[17280.93340517 17335.90686275],[9280. 2448.]
2022-04-14 12:45:00,20220414,124500,[17280.94093053 17335.90686275],[9328. 2448.]
2022-04-14 12:50:00,20220414,125000,[17280.94093053 17335.90686275],[9328. 2448.]
2022-04-14 12:55:00,20220414,125500,[17280.9606209  17335.90686275],[9599. 2448.]
2022-04-14 13:00:00,20220414,130000,[17280.98025575 17335.90686275],[9775. 2448.]
2022-04-14 13:05:00,20220414,130500,[17280.99596734 17335.90686275],[9919. 2448.]
2022-04-14 13:10:00,20220414,131000,[17281.00283286 17335.90686275],[10237.  2448.]
2022-04-14 13:15:00,20220414,131500,[17281.00283286 17335.90686275],[10237.  2448.]
2022-04-14 13:20:00,20220414,132000,[17280.98281659 17335.90686275],[10708.  2448.]
2022-04-14 13:25:00,20220414,132500,[17280.97364527 17335.90686275],[10814.  2448.]
2022-04-14 13:30:00,20220414,133000,[17280.96598758],[11437.]
