date,DATE,TIME,big_vols,big_vols_mv
2022-09-20 08:45:00,20220920,84500,[14534.59937888],[644.]
2022-09-20 08:50:00,20220920,85000,[14521.9497549  14534.59937888],[816. 644.]
2022-09-20 08:55:00,20220920,85500,[14510.81840796 14521.9497549 ],[1608.  816.]
2022-09-20 09:00:00,20220920,90000,[14510.8751062],[2354.]
2022-09-20 09:05:00,20220920,90500,[14511.00922446],[2927.]
2022-09-20 09:10:00,20220920,91000,[14510.93658537],[3075.]
2022-09-20 09:15:00,20220920,91500,[14499.77883096 14510.93658537],[2532. 3075.]
2022-09-20 09:20:00,20220920,92000,[14499.77883096 14510.93658537],[2532. 3075.]
2022-09-20 09:25:00,20220920,92500,[14492.02796421 14510.93658537],[2682. 3075.]
2022-09-20 09:30:00,20220920,93000,[14491.91049861 14510.93658537],[3229. 3075.]
2022-09-20 09:35:00,20220920,93500,[14491.0505102  14510.93658537],[3920. 3075.]
2022-09-20 09:40:00,20220920,94000,[14491.0505102  14510.93658537],[3920. 3075.]
2022-09-20 09:45:00,20220920,94500,[14491.0505102  14510.93658537],[3920. 3075.]
2022-09-20 09:50:00,20220920,95000,[14490.12051772 14510.93658537],[4713. 3075.]
2022-09-20 09:55:00,20220920,95500,[14490.12051772 14508.96990056],[4713. 3721.]
2022-09-20 10:00:00,20220920,100000,[14490.14425663 14508.96990056],[5206. 3721.]
2022-09-20 10:05:00,20220920,100500,[14490.14425663 14508.96990056],[5206. 3721.]
2022-09-20 10:10:00,20220920,101000,[14490.14425663 14508.96990056],[5206. 3721.]
2022-09-20 10:15:00,20220920,101500,[14490.15545617],[5590.]
2022-09-20 10:20:00,20220920,102000,[14490.12722092],[5966.]
2022-09-20 10:25:00,20220920,102500,[14490.06183774],[6323.]
2022-09-20 10:30:00,20220920,103000,[14490.10747805],[6606.]
2022-09-20 10:35:00,20220920,103500,[14490.10747805],[6606.]
2022-09-20 10:40:00,20220920,104000,[14490.10747805],[6606.]
2022-09-20 10:45:00,20220920,104500,[14490.10747805],[6606.]
2022-09-20 10:50:00,20220920,105000,[14480.03072909],[6899.]
2022-09-20 10:55:00,20220920,105500,[14479.10561532],[7622.]
2022-09-20 11:00:00,20220920,110000,[14479.05376212],[8147.]
2022-09-20 11:05:00,20220920,110500,[14479.06124812],[8637.]
2022-09-20 11:10:00,20220920,111000,[14479.08852826],[8935.]
2022-09-20 11:15:00,20220920,111500,[14479.11013313],[9089.]
2022-09-20 11:20:00,20220920,112000,[14479.99253103],[9506.]
2022-09-20 11:25:00,20220920,112500,[14479.99253103],[9506.]
2022-09-20 11:30:00,20220920,113000,[14480.05149922],[10272.]
2022-09-20 11:35:00,20220920,113500,[14480.05386485],[10285.]
2022-09-20 11:40:00,20220920,114000,[14480.05405405],[10286.]
2022-09-20 11:45:00,20220920,114500,[14480.05405405],[10286.]
2022-09-20 11:50:00,20220920,115000,[14480.05405405],[10286.]
2022-09-20 11:55:00,20220920,115500,[14480.05405405],[10286.]
2022-09-20 12:00:00,20220920,120000,[14480.05405405],[10286.]
2022-09-20 12:05:00,20220920,120500,[14480.05405405],[10286.]
2022-09-20 12:10:00,20220920,121000,[14480.05405405],[10286.]
2022-09-20 12:15:00,20220920,121500,[14480.05405405],[10286.]
2022-09-20 12:20:00,20220920,122000,[14480.05405405 14546.12412321],[10286.  3279.]
2022-09-20 12:25:00,20220920,122500,[14480.05405405 14546.12412321],[10286.  3279.]
2022-09-20 12:30:00,20220920,123000,[14480.05405405 14546.12412321],[10286.  3279.]
2022-09-20 12:35:00,20220920,123500,[14480.05405405 14546.12412321],[10286.  3279.]
2022-09-20 12:40:00,20220920,124000,[14480.05405405 14553.8488193 ],[10286.  3896.]
2022-09-20 12:45:00,20220920,124500,[14480.05405405 14546.32676588],[10286.  4771.]
2022-09-20 12:50:00,20220920,125000,[14480.05405405 14546.9311372 ],[10286.  5707.]
2022-09-20 12:55:00,20220920,125500,[14480.05405405 14546.95159106],[10286.  5908.]
2022-09-20 13:00:00,20220920,130000,[14480.05405405 14546.96036257],[10286.  6509.]
2022-09-20 13:05:00,20220920,130500,[14480.05405405 14546.91882141],[10286.  6652.]
2022-09-20 13:10:00,20220920,131000,[14480.05405405 14547.05787822],[10286.  7965.]
2022-09-20 13:15:00,20220920,131500,[14480.05405405 14547.02620388],[10286.  8701.]
2022-09-20 13:20:00,20220920,132000,[14480.05405405 14546.25346348],[10286.  9528.]
2022-09-20 13:25:00,20220920,132500,[14480.05405405 14546.18486775],[10286. 10851.]
2022-09-20 13:30:00,20220920,133000,[14480.05405405 14546.18637201],[10286. 10860.]
2022-09-20 13:35:00,20220920,133500,[14480.05405405 14546.18754026],[10286. 10867.]
2022-09-20 13:40:00,20220920,134000,[14480.05405405 14546.18754026],[10286. 10867.]
