date,DATE,TIME,big_vols,big_vols_mv
2021-01-08 08:45:00,20210108,84500,[15377.02909393 15393.10036276 15408.20373832],[1203.  827. 1070.]
2021-01-08 08:50:00,20210108,85000,[15377.02909393 15393.89285714 15408.16378663],[1203. 1708. 1331.]
2021-01-08 08:55:00,20210108,85500,[15377.38528139 15393.98984996],[1386. 2266.]
2021-01-08 09:00:00,20210108,90000,[15337.89303797 15377.60704304 15393.18173875],[1580. 1789. 2289.]
2021-01-08 09:05:00,20210108,90500,[15337.97579561 15358.03093987 15377.60704304 15393.18173875],[2231. 1713. 1789. 2289.]
2021-01-08 09:10:00,20210108,91000,[15338.0475273  15393.18173875],[3114. 2289.]
2021-01-08 09:15:00,20210108,91500,[15338.04057052 15393.18173875],[3155. 2289.]
2021-01-08 09:20:00,20210108,92000,[15338.05387803 15393.18173875],[3378. 2289.]
2021-01-08 09:25:00,20210108,92500,[15338.05387803 15355.98809524 15377.61812779 15393.18173875],[3378. 2856. 2019. 2289.]
2021-01-08 09:30:00,20210108,93000,[15338.05387803 15355.98809524 15377.89249037],[3378. 2856. 3116.]
2021-01-08 09:35:00,20210108,93500,[15343.22639978 15355.95092694 15377.89249037],[3697. 3668. 3116.]
2021-01-08 09:40:00,20210108,94000,[15343.22639978 15355.96228338 15377.97568627],[3697. 3924. 3825.]
2021-01-08 09:45:00,20210108,94500,[15344.04445473 15354.07883623 15377.97568627],[4319. 4262. 3825.]
2021-01-08 09:50:00,20210108,95000,[15343.18141788 15354.07883623 15377.97568627],[4542. 4262. 3825.]
2021-01-08 09:55:00,20210108,95500,[15343.18141788 15354.07883623 15377.97568627],[4542. 4262. 3825.]
2021-01-08 10:00:00,20210108,100000,[15343.18141788 15354.07883623 15377.97568627],[4542. 4262. 3825.]
2021-01-08 10:05:00,20210108,100500,[15343.18141788 15354.07883623 15377.97568627],[4542. 4262. 3825.]
2021-01-08 10:10:00,20210108,101000,[15343.18141788 15354.07883623 15377.97568627],[4542. 4262. 3825.]
2021-01-08 10:15:00,20210108,101500,[15336.05412636 15354.07883623 15377.97568627],[4859. 4262. 3825.]
2021-01-08 10:20:00,20210108,102000,[15325.98695899 15354.09529942 15377.97568627],[5291. 4659. 3825.]
2021-01-08 10:25:00,20210108,102500,[15325.98695899 15355.94891368 15377.97568627],[5291. 5109. 3825.]
2021-01-08 10:30:00,20210108,103000,[15325.98695899 15358.0690097  15377.97568627],[5291. 5463. 3825.]
2021-01-08 10:35:00,20210108,103500,[15338.06736527 15355.99936729 15377.97568627],[5344. 6322. 3825.]
2021-01-08 10:40:00,20210108,104000,[15356.00087184 15377.97568627],[6882. 3825.]
2021-01-08 10:45:00,20210108,104500,[15357.98269657 15377.97568627],[7224. 3825.]
2021-01-08 10:50:00,20210108,105000,[15338.10482072 15357.99464955 15377.97568627],[5829. 7476. 3825.]
2021-01-08 10:55:00,20210108,105500,[15328.17132402 15357.99464955 15377.97568627],[6012. 7476. 3825.]
2021-01-08 11:00:00,20210108,110000,[15328.1414902  15357.99464955 15377.97568627],[6375. 7476. 3825.]
2021-01-08 11:05:00,20210108,110500,[15328.1414902  15357.99464955 15377.97568627],[6375. 7476. 3825.]
2021-01-08 11:10:00,20210108,111000,[15329.93292409 15357.99464955 15377.97568627],[6679. 7476. 3825.]
2021-01-08 11:15:00,20210108,111500,[15329.93292409 15358.01539213 15377.97568627],[6679. 8186. 3825.]
2021-01-08 11:20:00,20210108,112000,[15329.93292409 15358.01539213],[6679. 8186.]
2021-01-08 11:25:00,20210108,112500,[15329.93292409 15358.01539213],[6679. 8186.]
2021-01-08 11:30:00,20210108,113000,[15329.93292409 15358.02119367],[6679. 8210.]
2021-01-08 11:35:00,20210108,113500,[15329.93292409 15358.02119367],[6679. 8210.]
2021-01-08 11:40:00,20210108,114000,[15329.93292409 15358.02119367],[6679. 8210.]
2021-01-08 11:45:00,20210108,114500,[15329.93292409 15358.02119367],[6679. 8210.]
2021-01-08 11:50:00,20210108,115000,[15329.93292409 15358.02119367 15430.05513514],[6679. 8210. 2775.]
2021-01-08 11:55:00,20210108,115500,[15329.93292409 15358.02119367 15429.93431713],[6679. 8210. 3456.]
2021-01-08 12:00:00,20210108,120000,[15329.93292409 15358.02119367 15429.975     ],[6679. 8210. 3680.]
2021-01-08 12:05:00,20210108,120500,[15329.93292409 15358.02119367 15429.975     ],[6679. 8210. 3680.]
2021-01-08 12:10:00,20210108,121000,[15329.93292409 15358.02119367 15429.94455852],[6679. 8210. 3896.]
2021-01-08 12:15:00,20210108,121500,[15329.93292409 15358.02119367 15429.94455852],[6679. 8210. 3896.]
