date,DATE,TIME,big_vols,big_vols_mv
2021-04-15 08:45:00,20210415,84500,[16882.81960104],[1153.]
2021-04-15 08:50:00,20210415,85000,[16889.24105866],[1398.]
2021-04-15 08:55:00,20210415,85500,[16889.13710958],[1889.]
2021-04-15 09:00:00,20210415,90000,[16889.13650921],[2498.]
2021-04-15 09:05:00,20210415,90500,[16889.11664899],[2829.]
2021-04-15 09:10:00,20210415,91000,[16889.08216249 16926.8584507 ],[3274. 1420.]
2021-04-15 09:15:00,20210415,91500,[16889.08216249 16926.10927505],[3274. 1876.]
2021-04-15 09:20:00,20210415,92000,[16889.96145925 16920.88969645],[3399. 2339.]
2021-04-15 09:25:00,20210415,92500,[16889.96722178 16920.88969645],[3783. 2339.]
2021-04-15 09:30:00,20210415,93000,[16890.02170323 16919.96391104],[4239. 2383.]
2021-04-15 09:35:00,20210415,93500,[16889.99895877 16920.93739482],[4802. 2971.]
2021-04-15 09:40:00,20210415,94000,[16889.96002295 16920.93739482],[5228. 2971.]
2021-04-15 09:45:00,20210415,94500,[16883.14342629 16920.93739482],[5522. 2971.]
2021-04-15 09:50:00,20210415,95000,[16885.92575093 16920.93739482],[5926. 2971.]
2021-04-15 09:55:00,20210415,95500,[16885.92575093],[5926.]
2021-04-15 10:00:00,20210415,100000,[16885.97040373],[6217.]
2021-04-15 10:05:00,20210415,100500,[16885.97040373 16919.98298197],[6217. 3937.]
2021-04-15 10:10:00,20210415,101000,[16885.97040373 16920.05650343],[6217. 4513.]
2021-04-15 10:15:00,20210415,101500,[16885.97040373 16920.0417183 ],[6217. 4842.]
2021-04-15 10:20:00,20210415,102000,[16885.97040373 16920.94161442],[6217. 5104.]
2021-04-15 10:25:00,20210415,102500,[16885.97040373 16920.06035113],[6217. 5468.]
2021-04-15 10:30:00,20210415,103000,[16885.97040373 16920.06321526],[6217. 5505.]
2021-04-15 10:35:00,20210415,103500,[16885.97040373 16920.06321526],[6217. 5505.]
2021-04-15 10:40:00,20210415,104000,[16885.97040373 16920.94292043],[6217. 5869.]
2021-04-15 10:45:00,20210415,104500,[16885.97040373 16920.99296765],[6217. 6399.]
2021-04-15 10:50:00,20210415,105000,[16885.97040373 16920.99430769],[6217. 6500.]
2021-04-15 10:55:00,20210415,105500,[16885.97040373 16923.07062359],[6217. 6655.]
2021-04-15 11:00:00,20210415,110000,[16885.97040373 16924.05702067],[6217. 7015.]
2021-04-15 11:05:00,20210415,110500,[16885.97040373 16924.05730774],[6217. 7451.]
2021-04-15 11:10:00,20210415,111000,[16885.97040373 16924.05904441],[6217. 7723.]
2021-04-15 11:15:00,20210415,111500,[16885.97040373 16924.07168592],[6217. 8049.]
2021-04-15 11:20:00,20210415,112000,[16885.97040373 16924.07168592],[6217. 8049.]
