date,DATE,TIME,big_vols,big_vols_mv
2021-10-19 08:45:00,20211019,84500,[16804.11332008],[1006.]
2021-10-19 08:50:00,20211019,85000,[16804.71927468],[1489.]
2021-10-19 08:55:00,20211019,85500,[16804.71927468 16818.1018246 ],[1489. 1699.]
2021-10-19 09:00:00,20211019,90000,[16804.72994652 16817.11072664],[1496. 2601.]
2021-10-19 09:05:00,20211019,90500,[16804.72994652 16817.11072664],[1496. 2601.]
2021-10-19 09:10:00,20211019,91000,[16819.70325846],[3161.]
2021-10-19 09:15:00,20211019,91500,[16803.95890411 16819.70325846],[2774. 3161.]
2021-10-19 09:20:00,20211019,92000,[16803.92699387 16816.92662654],[3260. 3489.]
2021-10-19 09:25:00,20211019,92500,[16804.04709965 16816.91978466],[4034. 3715.]
2021-10-19 09:30:00,20211019,93000,[16804.01803885 16816.94851342],[4324. 4137.]
2021-10-19 09:35:00,20211019,93500,[16804.01803885 16816.94851342 16858.95995289 16876.69181495],[4324. 4137. 1698. 1405.]
2021-10-19 09:40:00,20211019,94000,[16804.01803885 16816.94851342 16858.95995289 16878.06916636],[4324. 4137. 1698. 2747.]
2021-10-19 09:45:00,20211019,94500,[16804.01803885 16816.94851342 16858.95995289 16878.92872416],[4324. 4137. 1698. 2806.]
2021-10-19 09:50:00,20211019,95000,[16804.01803885 16816.94851342 16858.95995289 16879.00759828],[4324. 4137. 1698. 3027.]
2021-10-19 09:55:00,20211019,95500,"[16804.01803885 16816.94851342 16858.95995289 16879.00759828
 16910.99153976]",[4324. 4137. 1698. 3027. 1773.]
2021-10-19 10:00:00,20211019,100000,"[16804.01803885 16816.94851342 16858.95995289 16879.00759828
 16915.12116505]",[4324. 4137. 1698. 3027. 2575.]
2021-10-19 10:05:00,20211019,100500,"[16804.01803885 16816.94851342 16858.95995289 16879.00759828
 16915.06909212]",[4324. 4137. 1698. 3027. 2996.]
2021-10-19 10:10:00,20211019,101000,"[16804.01803885 16816.94851342 16858.95995289 16879.00759828
 16914.09497064]",[4324. 4137. 1698. 3027. 3917.]
2021-10-19 10:15:00,20211019,101500,"[16804.01803885 16816.94851342 16858.95995289 16879.00759828
 16916.87854711]",[4324. 4137. 1698. 3027. 4405.]
2021-10-19 10:20:00,20211019,102000,"[16804.01803885 16816.94851342 16858.95995289 16879.00759828
 16916.89099526]",[4324. 4137. 1698. 3027. 4431.]
2021-10-19 10:25:00,20211019,102500,"[16804.01803885 16816.94851342 16858.95995289 16879.00759828
 16916.89099526]",[4324. 4137. 1698. 3027. 4431.]
2021-10-19 10:30:00,20211019,103000,"[16804.01803885 16816.94851342 16858.95995289 16879.00759828
 16916.89099526 16948.07762777]",[4324. 4137. 1698. 3027. 4431. 2074.]
2021-10-19 10:35:00,20211019,103500,"[16804.01803885 16816.94851342 16858.95995289 16879.00759828
 16916.89099526 16948.07762777]",[4324. 4137. 1698. 3027. 4431. 2074.]
2021-10-19 10:40:00,20211019,104000,"[16804.01803885 16816.94851342 16858.95995289 16879.00759828
 16918.06210847 16948.07762777]",[4324. 4137. 1698. 3027. 5587. 2074.]
2021-10-19 10:45:00,20211019,104500,"[16804.01803885 16816.94851342 16858.95995289 16879.00759828
 16918.107575   16948.07762777]",[4324. 4137. 1698. 3027. 6033. 2074.]
